images_list,name,color,price,desc
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Legend Jacket,Core: Bone,€‌235.00,"Ready to take the #1 spot in your closet. The Legend Jacket is a lightweight, wear-on-repeat look for he, she & they, featuring memory woven fabric with light fill, sleek nylon lining, a front zipper with snaps, an iconic collar & front pocket. A round, shoelace drawcord at the bottom, a back locker loop, cinched cuffs and zippered pockets complete the look. Wear it solo or as a head-to-toe statement with the Legend Snap Pant."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Sherpa Stage Puffer,Black,€‌270.00,"The moment temps begin to drop, reach for the Sherpa Stage Puffer. It’s an ultra-warm, structured puffer jacket fully lined in our cozy, premium sherpa fabric, with a full-zip closure and zippered  side pockets that keeps hands warmly insulated. Complete with a tall, stand-up collar, bundling up in this textured, fleecy favorite has never felt better."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Oversized Sherpa Trench,Black,€‌350.00,"Sherpa & trench — a match for the ages. The full-length, classic trench silhouette gets reinvented for right now in our cozy, coveted sherpa, with an open front and zippered pockets to keep your stuff safe en route to-and-from."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Corduroy Stage Puffer,Core: Black,€‌290.00,"Stand out and stay warm in the Corduroy Stage Puffer. It has a cozy, insulated body, padded corduroy exterior and zippered side pockets—a must for making the to-and-from as toasty as possible. A heavyweight, slightly oversized, wind-and-weather-proof coat worthy of your year-round rotation."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Ripstop 1/4 Zip On-Set Jacket,Core: Black,€‌175.00,"Keep it top-notch from the top down with the Ripstop ¼ Zip On-Set Jacket, made from high-tech, water-resistant ripstop fabric. A bungee drawcord easily locks in heat in cooler weather while the handy front pocket keeps small essentials secure at the gym or on the streets. Lightweight, on-point and perfect for on-the-go when paired with performance bottoms."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Stretch Woven Street Puffer,Core: Black,€‌270.00,"Don’t let the cool weather hold you back. The Stretch Woven Street Puffer is equipped to handle changing temps with a warm-and-cozy lightweight body, front full-zip closure, handy pockets and a street-ready fit. Layer it over a long sleeve or hoodie and get moving."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Signature Overcoat,Core,€‌280.00,"An elevated, slightly boxy statement done in street-ready, water-resistant ripstop woven fabric. The Signature Overcoat is a full length, wear-on-repeat look for all genders. It’s got that VIP-level cool factor."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Corduroy Stage Puffer,Core,€‌290.00,"Stand out and stay warm in the Corduroy Stage Puffer. It has a cozy, insulated body, padded corduroy exterior and zippered side pockets—a must for making the to-and-from as toasty as possible. A heavyweight, slightly oversized, wind-and-weather-proof coat worthy of your year-round rotation."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Stretch Woven Street Puffer,Core: Bone,€‌270.00,"Don’t let the cool weather hold you back. The Stretch Woven Street Puffer is equipped to handle changing temps with a warm-and-cozy lightweight body, front full-zip closure, handy pockets and a street-ready fit. Layer it over a long sleeve or hoodie and get moving."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Stretch Woven Street Puffer,Core,€‌270.00,"Don’t let the cool weather hold you back. The Stretch Woven Street Puffer is equipped to handle changing temps with a warm-and-cozy lightweight body, front full-zip closure, handy pockets and a street-ready fit. Layer it over a long sleeve or hoodie and get moving."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Ripstop 1/4 Zip On-Set Jacket,Core,€‌175.00,"Keep it top-notch from the top down with the Ripstop ¼ Zip On-Set Jacket, made from high-tech, water-resistant ripstop fabric. A bungee drawcord easily locks in heat in cooler weather while the handy front pocket keeps small essentials secure at the gym or on the streets. Lightweight, on-point and perfect for on-the-go when paired with performance bottoms."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Stunner Puffer Jacket,Ivory,€‌585.00,"This is what the future of fashion looks like — luxe, jaw-dropping, perfectly structured & so elevated. The Stunner Puffer Jacket attracts endless admiration & compliments, thanks to super-glossy, lightweight woven fabric and bungees at the hood, waist & sleeves for just-right contouring. A structured hood & high front collar perfectly frame the face and elevated seam details complete the look."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Knock Out Faux Fur Jacket,Chocolate,€‌435.00,"There are no words for how cool this look is, but we’ll try: the Knock Out Faux Fur Jacket is an instant icon, courtesy of luxe faux fur and faux leather inset design. Welt zip pockets keep your stuff secure and a sleek, satin-like lining completes the look."
