images_list,name,color,price,desc
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Legend Jacket,Core,€‌235.00,"Ready to take the #1 spot in your closet. The Legend Jacket is a lightweight, wear-on-repeat look for he, she & they, featuring memory woven fabric with light fill, sleek nylon lining, a front zipper with snaps, an iconic collar & front pocket. A round, shoelace drawcord at the bottom, a back locker loop, cinched cuffs and zippered pockets complete the look. Wear it solo or as a head-to-toe statement with the Legend Snap Pant."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Sherpa Stage Puffer,Ivory,€‌270.00,"The moment temps begin to drop, reach for the Sherpa Stage Puffer. It’s an ultra-warm, structured puffer jacket fully lined in our cozy, premium sherpa fabric, with a full-zip closure and zippered  side pockets that keeps hands warmly insulated. Complete with a tall, stand-up collar, bundling up in this textured, fleecy favorite has never felt better."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Corduroy Stage Puffer,Core,€‌290.00,"Stand out and stay warm in the Corduroy Stage Puffer. It has a cozy, insulated body, padded corduroy exterior and zippered side pockets—a must for making the to-and-from as toasty as possible. A heavyweight, slightly oversized, wind-and-weather-proof coat worthy of your year-round rotation."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Oversized Sherpa Trench,Camel,€‌350.00,"Sherpa & trench — a match for the ages. The full-length, classic trench silhouette gets reinvented for right now in our cozy, coveted sherpa, with an open front and zippered pockets to keep your stuff safe en route to-and-from."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",G.O.A.T Jacket,Black,€‌350.00,"So epic, it stands in a class all its own — meet the G.O.A.T. Jacket. The “Greatest of all time” lives up to its name, thanks to an iconic letterman-style design covered in one-of-a-kind patches, with a textured, brushed fleece body and sleek, memory woven fabric for the sleeves and lining. Front slash pockets, ribbed cuffs & collar and a full zippered front complete the look."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Oversized Faux Fur Trench,Black,€‌470.00,"The new, insanely soft & touchable Oversized Faux Fur Trench takes the beloved silhouette of our Oversized Sherpa Trench and remixed it in the softest faux fur you’ve ever felt, with an open front, zippered pockets, a notched collar and sleek, satiny lining. Keep this classic on hand all season long and layer over your fave hoodie for some street edge."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",G.O.A.T Jacket,Bone,€‌350.00,"So epic, it stands in a class all its own — meet the G.O.A.T. Jacket. The “Greatest of all time” lives up to its name, thanks to an iconic letterman-style design covered in one-of-a-kind patches, with a textured, brushed fleece body and sleek, memory woven fabric for the sleeves and lining. Front slash pockets, ribbed cuffs & collar and a full zippered front complete the look."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Ripstop 1/4 Zip On-Set Jacket,Core,€‌175.00,"Keep it top-notch from the top down with the Ripstop ¼ Zip On-Set Jacket, made from high-tech, water-resistant ripstop fabric. A bungee drawcord easily locks in heat in cooler weather while the handy front pocket keeps small essentials secure at the gym or on the streets. Lightweight, on-point and perfect for on-the-go when paired with performance bottoms."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Cadence Jacket,Core,€‌200.00,"Ready, set, gear up & go. The Cadence Jacket is a lightweight, wear-anywhere jacket that’s engineered for movement with ease, featuring sleek, weather-tested ripstop fabric, a full front zipper, and a vented back that allows extra airflow for a breathable, relaxed fit. The clutch, 3-panel hood has your back when temps drop."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Cadence Jacket,Core: Black,€‌200.00,"Ready, set, gear up & go. The Cadence Jacket is a lightweight, wear-anywhere jacket that’s engineered for movement with ease, featuring sleek, weather-tested ripstop fabric, a full front zipper, and a vented back that allows extra airflow for a breathable, relaxed fit. The clutch, 3-panel hood has your back when temps drop."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Faux Fur Urbanite Bomber,Core: Black/Ivory,€‌280.00,"It’s like we read your mind — yes, the Faux Fur Urbanite Bomber is here and we lined it with fur for off-the-mat moves. The Faux Fur Urbanite Bomber is super-cozy, with an oversized silhouette and thick faux fur lining. A 2-in-1 sleeve pocket features a hidden zip pocket for securing your essentials."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Repeat Running Jacket,Core,€‌165.00,"Studio. Street. Chill. Repeat. The Repeat Running Jacket, made from high-tech, ripstop fabric, is the perfect lightweight jacket for morning runs or making moves all day. A vented back gives extra airflow for comfort, while a 3-panel hood with Alo-logo bungee closure in the back keeps you covered. Two pockets hold all your essentials — plus, this weightless jacket compresses for convenient travel."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Faux Fur Urbanite Bomber,Core,€‌280.00,"It’s like we read your mind — yes, the Faux Fur Urbanite Bomber is here and we lined it with fur for off-the-mat moves. The Faux Fur Urbanite Bomber is super-cozy, with an oversized silhouette and thick faux fur lining. A 2-in-1 sleeve pocket features a hidden zip pocket for securing your essentials."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Ripstop 1/4 Zip On-Set Jacket,Core,€‌175.00,"Keep it top-notch from the top down with the Ripstop 1/4 Zip On-Set Jacket, made from high-tech, water-resistant ripstop fabric. A bungee drawcord easily locks in heat in cooler weather while the handy front pocket keeps small essentials secure at the gym or on the streets. Lightweight, on-point and perfect for on-the-go when paired with performance bottoms."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Torrent Overshirt,Bone,€‌165.00,"A must-have for transitional weather and every day. The Torrent Overshirt features a lightweight woven shell with a breathable jersey lining that’s perfect for layering on the go. Zippered front pockets, elastic cuffs and a relaxed fit seal the deal. Take it wherever you’re headed by layering it over a crew neck tee and a go-to pant."
"['https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a1_1_m108_750x.jpg?v=1674603331', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a2_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a3_1_m108_750x.jpg?v=1674603330', 'https://cdn.shopify.com/s/files/1/2185/2813/products/M3204R_01_b1_s3_a4_1_m108_750x.jpg?v=1674603329']",Torrent Overshirt,Black,€‌165.00,"A must-have for transitional weather and every day. The Torrent Overshirt features a lightweight woven shell with a breathable jersey lining that’s perfect for layering on the go. Zippered front pockets, elastic cuffs and a relaxed fit seal the deal. Take it wherever you’re headed by layering it over a crew neck tee and a go-to pant."
